#,Väljaanne,Kaebuse sisu,Lahendi kuupäev,Lahendi liik,Otsuse sisu,Koodeks,Väljaande nimi
1081 ,"Pärnu Postimees 07.12.21 Käre pakane viis bussid rivist välja, autoabi osutajatel käed-jalad tööd täis ","Kaebaja leiab, et artikli foto on eksitav, sest jätab mulje nagu poleks ATKO buss sõita saanud. ",27.01.22,õigeksmõistev,"ÕIGEKSMÕISTEV: Pärnu Postimees ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul ei jäta artikkel muljet, nagu oleks ATKO Bussiliinide bussidel käreda külmaga probleeme olnud. Ka pildiallkiri ütleb, et liinil nr 40 probleeme ei olnud. ",[],Pärnu Postimees
1080 ,Eesti Ekspress 08.12.21 Varro Vooglaid räägib kodusõja puhkemisest ,Kaebaja hinnangul jätab artikli juhtlõik temast eksitava ja pahatahtliku mulje. ,27.01.22,õigeksmõistev,"ÕIGEKSMÕISTEV: Ekspress ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul ei ole loo juhtlõik eksitav, sest artiklis ütleb Varro Vooglaid, et on valmis oma pere kaitsmiseks sundvaktsineerimise eest relva haarama. Pressinõukogu arvates on ajakirjandusel õigus pealkirjades ja juhtlõikudes artiklid värvikamalt kokku võtta, kuid seda ei tohi teha kellegi arvelt. Antud juhul ei ole juhtlõiku värve lisades kaebajat kuritarvitatud, sest Varro Vooglaid ise toob loos vaktsineerimise temaatika sisse. ",[],Eesti Ekspress
1079 ,Hiiu Leht 03.12.21 Maksumaksjale läks Valge Ingli afäär maksma 51 000 eurot 03.12.21 Roostes Valge Ingel ,"Kaebaja leiab, et artiklis ja juhtkirjas on tema kohta esitatud tõsist kriitikat, kuid sõna ei antud. Kaebaja hinnangul sisaldab artikkel eksitavat ja ebatäpset infot. ",27.01.22,tauniv,"TAUNIV: Hiiu Leht rikkus ajakirjanduseetika koodeksi punkti 5.1., mis näeb ette, et kui kellegi kohta avaldatakse tõsiseid süüdistusi, tuleks talle pakkuda kommentaari võimalust samas numbris. Pressinõukogu hinnangul süüdistatakse artiklis Inge Taltsi tuuliku naabrite hirmutamises ja eksitava info jagamises. Samuti rikkus leht ajakirjanduseetika koodeksi punkti 3.3., mis näeb ette, et ajakirjanik peab rangelt kinni informatsiooniallikale antud lubadustest ja väldib lubadusi, mida ta ei suuda täita. Pressinõukogu hinnangul ei pidanud ajakirjanik kinni Inge Taltsile antud lubadusest avaldada tema seisukoht järgmises artiklis. ","['5.1', '3.3']",Hiiu Leht
1078 ,Hiiu Leht 22.10.21 Jalutuskäik Tiit Leito elutöö varemetel ,"Kaebaja ei ole rahul, et tema vastulauset ei avaldatud, kuigi artiklis esitati tema kohta süüdistusi. ",27.01.22,õigeksmõistev,"ÕIGEKSMÕISTEV: Hiiu Leht ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on artikkel üldisemalt maastikukaitsealast, Saarnaki hoonete kompleksi mainitakse vaid väikeses osas loost ning seejuures ei avaldatud rentniku nime. Pressinõukogu hinnangul ei esitata kaebaja kohta tõsiseid süüdistusi ja seepärast ei olnud vajadust kaebajale sõna anda. ",[],Hiiu Leht
1077 ,Õhtuleht 01.12.21 ,"Kaebaja leiab, et artikkel on pahatahtlik ja sisaldab valeinfot. Samuti ei ole kaebaja rahul, et teda on artiklis nimeliselt nimetatud. ",27.01.2022,õigeksmõistev,ÕIGEKSMÕISTEV: Õhtuleht ei rikkunud head ajakirjandustava. Pressinõukogu hinnangul kajastab artikkel kohtuotsust ja välja on jäetud eraelulised andmed. ,[],Õhtuleht
1076 ,"Delfi 05.11.21 Parkett kummis, tuul puhub läbi. Ostja esitas kümnete ehitusvigade tõttu arendaja vastu kaebuse ","Kaebaja leiab, et artikkel sisaldab ebatäpset ja eksitavat infot. Samuti ei ole kaebaja rahul, et talle sõna ei antud. ",16.12.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Delfi ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on refereeritud tarbijavaidluste komisjoni otsust, milles on mõlema osapoole seisukohad, samas oleks võinud uudises kohe alguses rõhutada, et tegemist on komisjoni otsuse refereeringuga. Kuna artikkel ei sisalda täiendavaid kommentaare, ei olnud alust kaebajale täiendavaks sõna andmiseks ega vastulauseks. ",[],Delfi
1075 ,"Eesti Ekspress 03.11.21 Suur vitamiinisõda Viimsis: farmaatsiatehase töötajad omastasid retseptid, lõid oma firma ja üritasid populaarse brändi turult välja süüa ","Kaebajate hinnangul sisaldab artikkel ebatäpset ja eksitavat infot ning uudised ja arvamused on segamini. Kaebajad ei ole rahul, et kaubamärgi tootepilti on kasutatud luba küsimata. ",16.12.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Ekspress ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on kaebajad saanud artiklis esitatud süüdistustele vastata. Pressinõukogu leiab, et Eesti Ekspressi poolt esitatud selgitused kinnitavad, et artikkel ei sisalda kontrollimata või eksitavat infot. ",[],Eesti Ekspress
1073 ,"Delfi 02.11.21 Robert Sarv kutsus piirangutevastaseid üles riiki kohtusse kaebama. Advokatuuri esimees: see ei ole advokaadile kohane, asja tuleb arutada aukohtus ","Kaebaja leiab, et loo pealkiri on vale sisuga, artikkel sisaldab ebatäpset, moonutatud ja eksitavat infot ning talle ei antud sõna. ",16.12.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Delfi ei eksinud ajakirjanduseetika koodeksi vastu. Pressinõukogu hinnangul on kaebaja postituse nimetamine üleskutseks põhjendatud, sest see kutsub inimesi tegutsema. Pressinõukogu hinnangul on seega ka artikli pealkiri õige.  Pressinõukogu leiab, et Robert Sarve seisukohad on artiklis olemas. Samuti on artiklis kaebaja selgitus, et tegemist ei ole üleskutsega. ",[],Delfi
1072 ,Eesti Ekspress 22.09.21 Pärnu revisjonikomisjoni esimees jäi prügilas vahele korruptsiooniga ,"Kaebaja hinnangul sisaldab artikkel valeinfot, sest tema vastu ei ole süüdistust esitatud. ",16.12.21,tauniv,"TAUNIV: Ekspress rikkus ajakirjanduseetika koodeksi punkti 4.11., mis ütleb, et fotod, fotode allkirjad, pealkirjad ja juhtlaused ei või auditooriumi eksitada. Pressinõukogu hinnangul jätab artikli pealkiri mulje, et kaebaja on toime pannud korruptsioonikuriteo, kuid seda süüdistust ei ole loos endas faktidega tõestatud. ",['4.11'],Eesti Ekspress
1071 ,"Eesti Päevaleht 15.10.21 Poisid, tüdrukud, ritta! ""Aga ma ei ole ju kumbki..."" Eestis valitseb soopimedus ","Kaebaja ei ole rahul, et artiklis avaldati artikli sisusse puutumatu lõik ehk teema käsitlust mittepuudutav vestlus, mis jätab kaebaja põhjendamatult halba valgusesse. Kaebaja ei ole rahul, et toimetus vastulauset ei avaldanud. ",16.12.21,õigeksmõistev,"ÕIGEKSMÕISTEV: Päevaleht ei eksinud ajakirjanduseetika koodeksi vastu, sest tegemist ei olnud „off the record“ vestlusega. ",[],Eesti Päevaleht
